نوع عملیات,SKU,نام محصول,وضعیت,توضیحات
ایجاد وارییشن,140001000000978,رخت آویز استیل حمام CT80,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000978.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000001588,رخت آویز استیل حمام CT80,موفق,ID: 7403
ایجاد والد,,رخت آویز استیل حمام 5800,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000977.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,سرویس حمام استیل دو طبقه 310,موفق,ID: 7405
ایجاد وارییشن,140001000000979,سرویس حمام استیل دو طبقه 310,موفق,ID: 7407
ایجاد وارییشن,140001000001595,سرویس حمام استیل دو طبقه 310,موفق,ID: 7409
ایجاد والد,,سرویس حمام استیل دو طبقه مستطیل,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000980.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,سرویس حمام استیل دو طبقه کنج,موفق,ID: 7411
ایجاد وارییشن,140001000000983,سرویس حمام استیل دو طبقه کنج,موفق,ID: 7413
ایجاد وارییشن,140001000000984,سرویس حمام استیل دو طبقه کنج,موفق,ID: 7415
ایجاد وارییشن,140001000000994,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000994.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000000995,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000995.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000000996,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000000996.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد وارییشن,140001000001597,سرویس حمام استیل دو طبقه کنج,خطا,"{'code': 'woocommerce_variation_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001597.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,رخت آویز استیل حمام CT82,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001589.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,رخت آویز استیل حمام 6500,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001590.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,سرویس حمام استیل دو طبقه 2-310,موفق,ID: 7417
ایجاد وارییشن,140001000001596,سرویس حمام استیل دو طبقه 2-310,موفق,ID: 7419
ایجاد والد,,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 7421
ایجاد وارییشن,140001000001598,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 7423
ایجاد وارییشن,140001000001599,سرویس حمام استیل دو طبقه کنج 2602,موفق,ID: 7425
ایجاد والد,,سرویس حمام استیل کنج سه طبقه 2903,موفق,ID: 7427
ایجاد وارییشن,140001000001600,سرویس حمام استیل کنج سه طبقه 2903,موفق,ID: 7429
ایجاد والد,,شلنگ توالت فشاری مک,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001603.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,جامایع استیل فشاری سیتی مارکت,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001741.webp. ایراد: Not Found', 'data': {'status': 400}}"
ایجاد والد,,علم دوش استیل یونیورست مک,خطا,"{'code': 'woocommerce_product_image_upload_error', 'message': 'خطا در گرفتن تصویر از راه دور https://ehsanstore.ir/wp-content/uploads/images/140001000001774.webp. ایراد: Not Found', 'data': {'status': 400}}"
